fecha;monto de compra
12/07/2022;-50
1/04/2020;0
20/07/2022;100
24/11/2020;0
13/03/2021;1000000
7/05/2022;-50
25/02/2023;100
17/11/2024;0
13/02/2021;200
26/10/2024;5000
1/06/2022;100
26/07/2023;300
24/02/2023;300
31/10/2020;100
3/03/2022;5000
10/11/2020;100
24/06/2024;1000000
9/09/2020;200
30/10/2021;-50
23/02/2024;0
15/02/2022;300
14/05/2023;200
3/09/2020;300
27/09/2023;300
2/06/2020;5000
6/02/2023;1000000
19/02/2024;1000000
25/06/2020;300
12/04/2020;1000000
13/07/2024;0
6/08/2022;200
5/06/2020;100
10/11/2023;100
12/05/2024;5000
22/07/2023;100
20/10/2022;1000000
23/04/2023;300
15/08/2020;100
5/03/2021;0
2/09/2024;100
29/11/2021;5000
18/08/2023;0
9/05/2024;0
21/08/2023;-50
26/05/2023;200
7/05/2022;200
18/06/2023;100
27/01/2022;200
13/07/2022;1000000
31/08/2024;300
27/10/2022;5000
1/06/2020;1000000
26/06/2023;100
13/09/2024;200
17/06/2022;0
22/07/2024;300
17/01/2021;-50
11/04/2024;-50
27/02/2021;5000
18/09/2023;200
14/08/2024;300
7/06/2024;-50
24/02/2023;5000
20/02/2023;5000
17/12/2024;100
12/04/2023;300
14/11/2020;100
4/07/2024;300
12/11/2021;1000000
24/07/2024;200
26/01/2024;200
15/08/2020;0
13/07/2024;200
5/05/2021;5000
20/05/2023;100
11/12/2022;300
7/11/2020;300
24/10/2023;-50
9/01/2024;-50
8/03/2021;200
25/07/2022;0
9/05/2020;200
19/09/2020;300
25/01/2023;1000000
23/06/2024;1000000
11/09/2023;5000
2/06/2020;5000
11/06/2024;0
19/01/2024;1000000
20/12/2023;1000000
28/03/2023;0
27/09/2021;200
22/09/2020;100
15/05/2023;-50
3/12/2023;5000
15/04/2020;100
17/04/2021;300
12/03/2021;5000
12/08/2023;100
8/01/2024;100
9/06/2023;200
2/09/2022;300
24/08/2021;1000000
28/02/2024;300
5/05/2024;200
25/07/2024;1000000
13/08/2024;100
10/08/2022;-50
13/02/2024;300
11/08/2022;200
6/06/2021;5000
12/05/2023;100
24/12/2021;100
24/08/2020;300
4/03/2024;5000
6/04/2020;200
17/07/2022;200
16/04/2021;300
12/09/2021;100
13/10/2023;300
17/07/2023;200
12/05/2024;-50
30/09/2023;0
7/12/2022;300
4/10/2023;0
18/07/2024;0
26/05/2022;200
30/03/2024;0
27/10/2022;-50
28/11/2021;200
10/01/2023;200
26/07/2020;1000000
25/04/2020;-50
13/05/2023;5000
28/03/2023;200
15/03/2021;300
26/10/2024;5000
26/03/2020;200
3/10/2022;-50
4/10/2020;200
9/11/2024;300
25/01/2024;1000000
5/02/2023;1000000
28/05/2020;300
23/08/2024;1000000
21/09/2023;100
4/04/2021;0
10/06/2021;5000
11/03/2024;300
22/06/2023;200
21/07/2023;-50
2/02/2023;100
23/09/2021;1000000
29/10/2022;200
9/12/2024;100
31/08/2022;100
24/05/2023;200
8/09/2024;200
27/08/2022;1000000
28/03/2023;100
1/07/2022;1000000
16/02/2024;0
25/02/2021;0
20/02/2024;100
3/07/2024;100
17/02/2022;-50
11/02/2024;100
21/02/2020;-50
3/10/2023;300
10/09/2021;5000
23/05/2022;0
30/10/2024;300
26/09/2022;0
2/10/2022;-50
12/02/2022;1000000
27/07/2024;-50
13/01/2024;-50
22/07/2020;5000
23/08/2021;0
14/06/2023;0
3/02/2022;-50
5/03/2021;0
15/05/2020;0
24/03/2020;-50
10/02/2021;300
2/09/2021;100
24/10/2022;-50
16/12/2020;200
23/05/2020;-50
27/03/2023;-50
16/08/2023;-50
14/04/2021;200
24/09/2021;0
26/03/2020;200
25/11/2021;300
9/10/2020;5000
5/06/2023;300
13/09/2021;200
22/05/2020;5000
19/06/2020;300
15/06/2024;-50
12/03/2024;300
19/11/2022;200
14/06/2022;1000000
28/03/2022;-50
25/03/2024;1000000
13/11/2022;5000
9/01/2020;300
24/07/2022;1000000
24/01/2021;200
25/05/2023;5000
9/06/2020;200
3/11/2020;0
13/12/2022;300
6/04/2024;5000
1/09/2024;-50
6/01/2024;0
26/07/2021;-50
10/06/2024;100
7/09/2020;0
15/12/2023;200
21/10/2022;300
30/09/2024;-50
26/09/2021;300
7/09/2022;0
29/05/2023;1000000
13/07/2022;5000
25/04/2022;1000000
23/02/2020;0
17/03/2023;-50
30/03/2021;5000
29/01/2024;-50
1/05/2021;300
12/09/2024;1000000
17/01/2021;300
18/04/2023;300
3/03/2024;200
6/01/2021;5000
31/01/2023;5000
2/06/2022;-50
22/01/2024;0
23/03/2021;1000000
18/01/2023;200
12/09/2020;200
27/01/2024;200
17/06/2024;100
21/08/2022;5000
29/09/2021;300
11/07/2020;100
4/03/2021;300
6/01/2022;1000000
29/01/2021;5000
5/07/2023;1000000
20/01/2021;300
7/11/2022;-50
7/05/2020;-50
24/06/2024;100
7/11/2024;5000
2/10/2023;1000000
28/12/2022;-50
8/06/2022;100
22/09/2022;-50
1/01/2023;0
20/02/2023;5000
24/05/2024;5000
2/04/2024;5000
8/11/2024;1000000
7/02/2024;-50
2/08/2022;200
14/04/2020;1000000
1/04/2022;-50
21/08/2021;5000
12/08/2024;200
10/11/2023;-50
9/03/2020;100
4/11/2021;200
28/12/2020;-50
3/07/2022;5000
19/10/2020;200
7/03/2020;1000000
6/01/2021;100
2/09/2023;-50
1/04/2023;5000
6/04/2022;-50
7/12/2021;200
14/04/2020;-50
14/10/2023;200
20/03/2023;100
14/07/2021;0
6/05/2021;5000
8/01/2024;200
13/05/2022;1000000
18/07/2024;5000
25/11/2022;100
3/07/2020;5000
2/07/2021;0
12/07/2022;200
26/05/2024;100
10/12/2024;-50
14/11/2021;5000
14/04/2024;5000
19/05/2023;300
24/11/2020;-50
2/08/2021;1000000
10/01/2020;5000
12/03/2022;200
6/04/2022;0
1/07/2022;300
1/05/2021;100
21/06/2021;5000
31/05/2023;5000
26/09/2024;100
11/10/2022;-50
18/04/2021;0
28/12/2022;5000
2/06/2021;200
13/09/2024;100
20/05/2020;0
24/10/2021;0
21/05/2023;200
22/12/2021;-50
2/02/2021;5000
20/07/2020;-50
3/03/2021;300
7/01/2023;200
5/09/2023;300
4/07/2023;-50
31/08/2021;100
10/01/2020;-50
28/09/2021;100
29/12/2022;0
19/02/2023;200
17/08/2022;200
4/04/2020;1000000
25/03/2021;5000
9/09/2023;5000
1/11/2024;200
16/10/2024;0
3/02/2024;300
6/07/2021;1000000
6/08/2024;1000000
12/10/2022;100
5/05/2021;1000000
24/10/2023;200
22/02/2022;5000
2/05/2023;-50
5/12/2022;200
28/06/2023;5000
25/10/2023;-50
23/10/2022;0
14/03/2024;1000000
12/04/2024;100
2/06/2024;300
17/09/2023;300
7/06/2024;0
10/08/2022;300
20/05/2021;200
13/08/2021;1000000
26/07/2023;5000
1/02/2022;200
20/03/2023;100
17/09/2021;100
17/04/2023;0
2/11/2020;1000000
17/11/2024;5000
13/05/2023;1000000
20/09/2021;300
30/04/2022;1000000
4/10/2023;200
28/06/2021;200
11/06/2021;200
30/09/2023;5000
14/04/2020;0
28/10/2023;200
3/10/2024;300
25/10/2021;200
12/05/2024;300
16/02/2023;0
16/06/2022;0
10/06/2022;300
31/01/2024;200
23/10/2022;200
24/11/2023;5000
20/06/2023;100
17/04/2020;0
17/06/2020;1000000
30/12/2020;5000
5/05/2021;200
13/02/2020;5000
7/07/2023;300
27/10/2023;200
4/01/2021;0
23/03/2022;200
29/12/2020;-50
8/10/2022;300
17/03/2022;0
22/08/2023;1000000
14/01/2020;300
14/10/2024;300
28/03/2023;5000
2/06/2024;300
28/11/2024;200
25/06/2024;-50
15/03/2021;200
19/04/2021;200
31/10/2023;300
30/04/2021;100
18/12/2023;100
11/12/2020;200
20/05/2020;1000000
31/10/2022;-50
7/04/2020;-50
19/01/2020;100
27/05/2023;100
2/09/2023;-50
29/05/2021;1000000
11/12/2021;300
23/02/2022;200
5/10/2021;5000
8/03/2022;1000000
10/09/2021;100
14/03/2024;5000
22/12/2020;0
5/05/2021;-50
13/01/2024;300
12/06/2021;5000
27/03/2020;1000000
25/03/2021;200
20/05/2024;5000
14/09/2022;100
4/06/2024;-50
20/03/2021;100
26/12/2024;200
2/01/2021;-50
16/04/2021;5000
23/12/2020;200
14/01/2021;-50
21/01/2024;300
29/10/2023;100
29/01/2021;100
29/06/2022;1000000
29/05/2022;100
30/05/2022;0
14/10/2021;5000
22/09/2023;300
24/06/2024;0
25/03/2020;5000
22/05/2021;5000
11/03/2023;200
20/08/2020;5000
2/02/2022;0
29/09/2023;1000000
2/05/2022;0
30/03/2020;-50
10/11/2024;200
23/04/2021;5000
19/12/2022;0
4/04/2022;100
28/08/2021;-50
20/02/2020;0
11/01/2023;0
16/11/2024;1000000
22/02/2023;5000
29/08/2024;5000
23/11/2021;200
18/05/2021;100
20/02/2023;5000
13/03/2021;0
26/03/2024;1000000
18/03/2022;-50
17/02/2021;200
9/08/2020;1000000
24/11/2020;300
22/04/2020;5000
14/05/2022;5000
31/03/2022;5000
3/02/2022;200
29/03/2024;100
1/10/2020;200
14/12/2020;200
13/03/2023;300
20/01/2023;5000
18/02/2023;100
8/10/2020;-50
4/12/2023;100
14/01/2020;5000
13/08/2023;300
19/06/2020;1000000
29/01/2021;100
8/12/2024;300
5/03/2024;0
16/07/2020;0
21/01/2022;0
7/08/2024;0
30/06/2024;5000
30/09/2023;0
9/02/2023;1000000
24/09/2020;300
19/09/2021;0
14/10/2022;0
15/02/2022;0
20/01/2023;1000000
24/02/2023;-50
18/08/2020;100
12/03/2021;-50
1/03/2022;-50
17/05/2024;5000
14/11/2021;100
3/09/2020;100
30/06/2021;1000000
25/10/2020;5000
